x_axis	b_count	g_count	r_count
0	1743975	1743971	1743971
1	0	0	0
2	0	0	0
3	1	0	0
4	2	0	0
5	1	0	0
6	0	0	0
7	2	0	0
8	4	0	0
9	3	0	0
10	7	0	0
11	3	0	0
12	7	0	0
13	9	0	0
14	6	0	0
15	6	0	0
16	18	0	0
17	14	0	0
18	19	0	0
19	24	0	0
20	48	0	0
21	53	0	0
22	35	0	0
23	47	0	0
24	60	0	0
25	66	0	0
26	67	0	0
27	66	0	0
28	87	0	0
29	93	0	0
30	98	0	0
31	101	0	0
32	87	0	0
33	99	0	0
34	103	0	0
35	111	0	0
36	105	0	0
37	90	0	0
38	108	0	0
39	98	0	0
40	109	1	0
41	102	0	0
42	103	0	0
43	107	1	0
44	100	0	0
45	112	0	0
46	98	0	0
47	94	1	0
48	100	0	0
49	105	0	0
50	85	2	0
51	124	2	0
52	104	0	0
53	111	1	0
54	107	1	0
55	125	6	0
56	110	4	0
57	120	3	0
58	123	4	0
59	126	3	0
60	135	6	0
61	131	4	0
62	111	3	0
63	121	9	0
64	137	9	0
65	117	8	1
66	138	11	0
67	152	6	0
68	132	13	0
69	144	24	2
70	106	15	0
71	122	24	0
72	131	26	0
73	113	41	0
74	126	40	0
75	121	50	0
76	113	49	0
77	106	53	0
78	97	58	1
79	101	68	0
80	100	69	0
81	118	58	0
82	105	53	0
83	108	74	1
84	110	64	1
85	96	78	0
86	111	74	0
87	124	66	1
88	119	83	0
89	107	78	0
90	117	79	0
91	110	83	1
92	112	82	1
93	120	96	0
94	132	90	0
95	154	87	1
96	184	90	4
97	176	76	1
98	166	100	1
99	210	88	3
100	211	96	2
101	233	88	2
102	250	96	5
103	240	90	4
104	278	114	5
105	275	119	7
106	314	103	8
107	308	103	5
108	332	129	4
109	343	102	8
110	385	112	8
111	398	121	3
112	438	130	9
113	452	101	19
114	508	93	12
115	506	115	22
116	618	114	34
117	675	128	23
118	716	107	30
119	755	109	27
120	824	107	33
121	896	110	44
122	932	104	33
123	947	109	42
124	1057	82	44
125	1040	116	35
126	1115	116	40
127	1238	116	69
128	1334	118	54
129	1377	103	63
130	1487	128	65
131	1620	149	52
132	1809	104	55
133	1881	128	69
134	2169	109	82
135	2288	117	99
136	2479	148	60
137	2673	125	90
138	2822	115	60
139	2987	115	106
140	3189	112	74
141	3335	145	93
142	3675	125	97
143	3715	123	103
144	3793	139	82
145	3804	144	78
146	3950	125	104
147	4207	133	97
148	4368	137	112
149	4629	151	109
150	4604	166	129
151	4931	159	133
152	4918	156	118
153	5250	172	106
154	5528	176	127
155	5494	221	139
156	5756	220	167
157	5927	229	128
158	5868	253	150
159	5767	254	147
160	5834	262	124
161	5627	289	162
162	5722	295	158
163	5625	296	141
164	5488	345	171
165	5361	368	158
166	5131	364	176
167	5017	415	180
168	4950	497	187
169	4838	493	214
170	4610	552	189
171	4244	570	210
172	3912	604	201
173	3561	658	241
174	3410	772	215
175	3057	751	259
176	2726	783	284
177	2440	887	277
178	2101	942	314
179	1913	1006	305
180	1748	1108	368
181	1517	1093	426
182	1370	1281	430
183	1168	1351	500
184	1042	1408	535
185	905	1482	583
186	852	1580	598
187	702	1718	656
188	604	1871	719
189	521	2097	803
190	473	2229	825
191	405	2430	916
192	359	2672	995
193	356	3059	1092
194	325	3204	1125
195	229	3563	1210
196	266	3895	1203
197	216	4225	1285
198	221	4659	1514
199	228	5103	1627
200	220	5342	1760
201	192	6076	1947
202	180	6393	2062
203	187	6937	2305
204	155	7368	2589
205	182	7609	2824
206	152	8155	3056
207	164	8296	3388
208	156	8493	3592
209	166	8640	3951
210	131	8689	4502
211	148	8775	5037
212	151	8587	5523
213	154	8471	6101
214	143	8014	6761
215	168	7567	7417
216	146	6922	7913
217	144	6177	8476
218	133	5448	9015
219	137	5002	9651
220	115	4507	9944
221	119	4046	10199
222	123	3419	10099
223	110	2811	9984
224	117	2112	9496
225	110	1729	9013
226	112	1353	8583
227	136	1077	7997
228	119	813	7071
229	82	706	6517
230	116	529	5680
231	97	412	5115
232	121	366	4353
233	109	315	3560
234	107	252	2936
235	110	281	2195
236	108	248	1687
237	98	240	1338
238	90	216	1019
239	115	238	808
240	76	242	647
241	123	218	513
242	80	236	419
243	139	219	401
244	116	228	316
245	82	224	292
246	124	205	285
247	84	202	280
248	166	192	267
249	102	205	314
250	210	267	263
251	178	343	309
252	96	432	365
253	245	610	482
254	112	702	649
255	475	1497	3187
