x_axis	b_count	g_count	r_count
0	1743971	1743971	1743971
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	0	0	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	1	0	0
48	1	0	0
49	0	0	0
50	1	0	0
51	0	0	0
52	0	0	0
53	1	0	0
54	1	0	0
55	0	0	0
56	2	0	0
57	0	0	0
58	0	0	0
59	1	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	1	0	0
64	1	0	0
65	2	1	0
66	0	1	0
67	0	0	0
68	3	0	0
69	0	0	0
70	3	0	0
71	1	1	0
72	2	1	0
73	1	0	0
74	2	0	2
75	5	2	0
76	3	0	0
77	5	1	0
78	3	0	1
79	3	0	1
80	3	0	0
81	1	1	0
82	0	0	1
83	1	1	1
84	1	1	1
85	3	0	0
86	3	0	0
87	4	1	0
88	2	0	0
89	7	1	0
90	3	1	0
91	5	0	1
92	4	2	2
93	9	1	0
94	7	0	0
95	4	0	0
96	6	5	0
97	3	2	3
98	7	0	0
99	7	2	0
100	6	2	0
101	3	3	0
102	2	3	1
103	6	4	2
104	5	1	2
105	7	0	0
106	5	2	1
107	6	3	1
108	6	0	0
109	6	3	0
110	3	1	0
111	5	2	0
112	7	2	0
113	8	2	2
114	5	2	0
115	11	3	1
116	13	2	2
117	9	6	2
118	12	4	0
119	11	2	1
120	7	3	4
121	13	1	2
122	18	8	2
123	25	11	2
124	33	5	1
125	23	7	0
126	26	8	1
127	34	9	3
128	42	9	2
129	53	5	2
130	61	9	3
131	56	4	4
132	83	6	2
133	88	6	2
134	120	9	8
135	149	10	6
136	174	9	4
137	209	17	3
138	220	11	8
139	324	11	3
140	410	14	6
141	441	21	6
142	518	26	5
143	576	16	10
144	683	16	7
145	754	19	12
146	801	38	13
147	930	40	15
148	943	42	18
149	1073	67	14
150	1221	55	18
151	1312	62	20
152	1406	63	22
153	1579	83	34
154	1808	100	40
155	2084	115	44
156	2453	141	37
157	2783	144	39
158	3078	212	74
159	3480	260	90
160	3801	313	96
161	4160	414	120
162	4545	505	141
163	4803	529	178
164	5060	656	225
165	5405	748	300
166	5615	925	403
167	5943	1011	458
168	6470	1162	560
169	6820	1362	634
170	7186	1502	827
171	7799	1708	937
172	8310	1924	1098
173	8992	2215	1134
174	9566	2459	1338
175	10211	2865	1626
176	10707	3186	1859
177	11261	3559	2125
178	11623	3791	2472
179	11455	4061	2873
180	10995	4505	3277
181	9989	4766	3699
182	9008	5047	4390
183	8059	5478	4884
184	7083	5658	5282
185	6007	6076	5800
186	4782	6589	6419
187	3748	7260	6989
188	2639	7953	7668
189	1867	8617	8314
190	1292	9368	8838
191	862	10249	9336
192	625	10830	10008
193	414	11585	10588
194	328	12632	11177
195	282	13466	11756
196	197	13410	12552
197	136	13174	13329
198	118	12107	13481
199	76	10682	12882
200	63	9085	11912
201	38	7218	10816
202	27	5390	9203
203	12	3650	7580
204	15	2534	5845
205	8	1571	4350
206	5	1038	2864
207	6	700	1993
208	14	478	1163
209	9	325	732
210	7	219	524
211	3	157	364
212	8	107	249
213	4	77	176
214	7	33	116
215	3	33	63
216	5	20	42
217	5	13	40
218	5	9	21
219	6	15	11
220	7	10	18
221	6	7	11
222	15	7	6
223	7	6	11
224	4	7	9
225	7	4	7
226	7	3	10
227	2	11	5
228	8	6	8
229	6	6	6
230	6	6	8
231	9	8	2
232	7	6	6
233	5	10	6
234	5	10	13
235	8	8	9
236	9	3	4
237	9	9	5
238	8	5	10
239	12	15	9
240	16	10	10
241	10	8	10
242	12	5	7
243	15	10	12
244	12	6	9
245	22	12	13
246	15	12	14
247	41	15	12
248	37	15	13
249	35	22	17
250	58	31	32
251	85	45	45
252	44	64	62
253	122	89	86
254	55	113	157
255	208	386	360
