x_axis	b_count	g_count	r_count
0	1743971	1743971	1743971
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	1	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	1	0	0
31	1	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	3	0	0
36	0	0	0
37	2	0	0
38	2	0	0
39	3	0	0
40	3	0	0
41	2	0	0
42	2	0	0
43	2	0	0
44	1	0	0
45	4	0	0
46	0	0	0
47	4	0	0
48	2	0	0
49	4	0	0
50	2	0	0
51	1	0	0
52	4	0	0
53	2	0	0
54	3	0	0
55	2	0	0
56	3	0	0
57	3	0	0
58	2	0	0
59	2	0	0
60	3	0	0
61	5	0	0
62	1	0	0
63	4	0	0
64	4	0	0
65	4	0	0
66	2	0	0
67	3	0	0
68	3	0	0
69	1	0	0
70	2	1	0
71	2	0	0
72	2	0	0
73	4	2	0
74	3	0	0
75	2	0	0
76	5	0	0
77	2	1	0
78	2	1	0
79	3	2	0
80	5	2	0
81	3	1	0
82	0	0	0
83	4	0	0
84	4	0	0
85	1	1	1
86	3	1	0
87	4	0	0
88	4	0	1
89	3	3	0
90	6	0	1
91	5	2	0
92	6	1	1
93	3	1	1
94	10	1	1
95	5	1	0
96	6	1	1
97	5	2	1
98	4	1	0
99	2	1	1
100	3	0	1
101	11	3	0
102	8	2	2
103	7	0	1
104	11	1	1
105	11	2	1
106	6	1	2
107	8	4	0
108	6	3	0
109	10	1	0
110	14	3	1
111	19	6	1
112	9	1	2
113	15	6	0
114	13	5	3
115	18	4	0
116	11	2	1
117	23	8	1
118	15	1	3
119	13	4	1
120	13	6	1
121	18	6	3
122	18	5	1
123	9	6	0
124	17	6	0
125	14	10	0
126	12	3	0
127	17	6	1
128	8	3	0
129	8	11	0
130	15	12	1
131	19	3	1
132	23	6	2
133	18	15	1
134	25	8	0
135	21	14	2
136	20	4	1
137	14	9	3
138	20	13	1
139	28	15	2
140	35	7	2
141	29	11	6
142	41	16	2
143	49	19	1
144	55	13	8
145	60	15	1
146	67	17	5
147	101	15	2
148	116	14	2
149	147	11	6
150	182	12	6
151	244	11	5
152	314	13	4
153	419	7	4
154	458	14	5
155	597	13	10
156	685	14	9
157	749	17	10
158	835	12	14
159	937	12	16
160	919	19	6
161	1054	11	12
162	1073	10	13
163	1282	13	14
164	1414	14	16
165	1689	31	13
166	1901	20	15
167	2297	21	20
168	2761	24	11
169	3207	22	18
170	3465	25	15
171	3802	24	21
172	3817	16	18
173	3976	14	15
174	3902	27	21
175	3846	24	23
176	4267	41	21
177	4451	37	21
178	4826	41	20
179	5403	59	28
180	6159	70	38
181	6987	93	33
182	8234	110	52
183	9092	170	52
184	9817	201	66
185	10359	295	88
186	10792	394	112
187	11232	525	150
188	11613	749	200
189	12277	932	295
190	12106	1193	370
191	11414	1558	481
192	10101	1869	635
193	8901	2371	845
194	7683	2959	1058
195	6562	3677	1321
196	5482	4068	1658
197	4834	4333	1892
198	4308	4392	2472
199	3839	4216	2965
200	3334	3843	3683
201	2659	3731	3946
202	1926	3678	4067
203	1300	3778	4349
204	828	4019	4153
205	560	4357	4332
206	316	4800	4142
207	237	5248	4183
208	164	5856	4422
209	86	6831	4606
210	51	8087	5169
211	38	9891	5521
212	15	11745	6030
213	16	13663	6752
214	18	15172	7994
215	7	16317	9659
216	13	16238	11952
217	12	14908	13734
218	7	12847	15587
219	6	10752	16068
220	4	9400	15770
221	6	7858	14527
222	4	6376	12835
223	7	4961	10859
224	10	3452	9291
225	9	2318	7829
226	7	1622	6483
227	3	1072	5021
228	3	681	3782
229	5	404	2611
230	3	234	1868
231	5	125	1188
232	9	61	786
233	11	40	468
234	8	23	293
235	5	21	158
236	5	14	86
237	4	12	42
238	6	10	34
239	8	10	17
240	5	16	18
241	6	12	15
242	4	6	11
243	5	9	10
244	1	6	10
245	1	7	15
246	3	7	13
247	0	4	13
248	0	9	6
249	0	6	5
250	0	4	6
251	0	2	3
252	0	9	5
253	0	12	5
254	0	15	5
255	0	19	44
