x_axis	b_count	g_count	r_count
0	1743971	1743971	1743971
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	1	0	0
6	1	0	0
7	0	0	0
8	0	0	0
9	1	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	1	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	1	0	0
23	0	0	0
24	2	0	0
25	1	0	0
26	0	0	0
27	0	0	0
28	1	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	0	0	0
36	1	1	0
37	0	1	0
38	0	0	0
39	1	1	0
40	1	0	0
41	1	0	0
42	1	1	0
43	1	0	0
44	6	0	0
45	1	0	0
46	0	0	0
47	1	0	0
48	1	0	0
49	2	0	0
50	3	0	0
51	0	1	0
52	1	0	0
53	1	0	0
54	0	0	0
55	2	2	0
56	0	1	0
57	0	0	0
58	4	0	0
59	1	1	0
60	2	0	0
61	1	0	0
62	2	0	0
63	1	0	0
64	4	0	0
65	2	0	0
66	1	0	0
67	2	1	0
68	0	0	0
69	1	0	0
70	0	0	0
71	1	1	0
72	0	0	0
73	1	1	0
74	1	1	1
75	3	2	1
76	0	0	1
77	3	0	0
78	4	0	0
79	3	2	1
80	2	0	0
81	3	0	0
82	3	1	0
83	5	0	0
84	5	0	0
85	1	0	0
86	2	2	2
87	1	0	0
88	1	1	1
89	2	0	1
90	5	0	0
91	4	1	0
92	4	1	1
93	0	1	0
94	7	0	0
95	2	0	0
96	3	1	0
97	7	3	0
98	4	1	0
99	3	1	0
100	7	1	1
101	8	2	0
102	2	2	0
103	6	2	1
104	8	1	0
105	6	1	1
106	5	3	2
107	9	1	0
108	4	4	3
109	6	3	1
110	7	3	0
111	11	1	0
112	14	2	1
113	9	1	0
114	12	4	0
115	7	2	1
116	14	3	0
117	16	1	4
118	8	0	1
119	16	2	3
120	8	2	4
121	16	4	4
122	14	1	3
123	11	3	0
124	12	3	1
125	13	2	1
126	13	3	2
127	15	3	2
128	16	4	3
129	20	0	2
130	12	4	0
131	15	4	3
132	32	7	4
133	33	5	2
134	51	5	1
135	71	7	2
136	113	4	6
137	120	3	2
138	217	4	3
139	297	5	4
140	391	6	6
141	497	9	1
142	549	3	2
143	624	7	2
144	707	8	3
145	714	8	5
146	758	10	3
147	795	12	0
148	851	5	8
149	856	16	7
150	883	11	4
151	986	7	1
152	1036	6	8
153	1131	14	4
154	1207	7	5
155	1273	13	7
156	1262	12	6
157	1397	14	7
158	1474	8	9
159	1381	12	8
160	1586	9	11
161	1631	14	5
162	1839	18	9
163	2123	15	3
164	2304	14	12
165	2490	29	13
166	2699	17	12
167	2818	30	5
168	3170	22	14
169	3408	27	9
170	3727	57	8
171	4114	54	11
172	4590	81	16
173	5291	91	15
174	5963	185	23
175	7138	225	18
176	8124	295	27
177	9233	420	21
178	10185	562	27
179	11045	740	36
180	11674	815	51
181	12097	891	72
182	11919	1052	102
183	11823	1117	123
184	11164	1338	214
185	10715	1488	277
186	9786	1650	389
187	8933	1772	483
188	7741	2071	706
189	6581	2281	858
190	5479	2416	966
191	4416	2758	1097
192	3636	2807	1219
193	3004	3152	1378
194	2649	3290	1553
195	2294	3479	1630
196	1955	3567	1912
197	1747	3624	2120
198	1537	3789	2496
199	1318	3778	2625
200	1026	4086	2944
201	750	4392	3191
202	530	5067	3567
203	373	6013	3674
204	261	7096	4167
205	187	8406	4351
206	182	9606	4590
207	128	10891	4995
208	125	12190	5394
209	120	13158	6161
210	111	13517	7196
211	94	13670	8263
212	85	13436	9758
213	65	12835	11223
214	68	11692	12501
215	65	10290	13460
216	52	8629	13939
217	55	7043	13795
218	40	5874	13631
219	48	4847	13057
220	50	4192	12016
221	56	3313	10600
222	53	2398	9045
223	51	1648	7691
224	43	1116	6267
225	41	751	5378
226	42	512	4506
227	38	324	3477
228	41	261	2718
229	29	173	1869
230	38	145	1329
231	33	119	885
232	38	102	630
233	45	80	394
234	49	73	269
235	55	86	228
236	48	64	151
237	53	68	134
238	49	62	102
239	51	49	100
240	38	68	96
241	55	63	72
242	44	55	62
243	42	68	76
244	28	59	68
245	24	65	75
246	33	64	62
247	14	52	57
248	31	46	54
249	15	73	71
250	35	61	70
251	17	67	55
252	2	65	75
253	1	91	75
254	0	84	84
255	0	148	336
