x_axis	b_count	g_count	r_count
0	1743971	1743971	1743971
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	1	0	0
27	1	0	0
28	0	0	0
29	1	0	0
30	3	0	0
31	1	0	0
32	2	0	0
33	2	0	0
34	0	0	0
35	3	0	0
36	1	0	0
37	1	0	0
38	3	0	0
39	1	0	0
40	1	0	0
41	0	0	0
42	5	0	0
43	1	0	0
44	4	0	0
45	2	0	0
46	2	0	0
47	2	0	0
48	4	0	0
49	0	0	0
50	1	0	0
51	1	0	0
52	4	0	0
53	5	0	0
54	1	0	0
55	0	0	0
56	3	0	0
57	1	0	0
58	4	0	0
59	2	0	0
60	7	0	0
61	7	0	0
62	4	0	0
63	3	1	0
64	5	0	0
65	2	0	0
66	2	0	0
67	5	0	0
68	4	0	0
69	2	0	0
70	7	0	0
71	5	0	1
72	4	1	0
73	2	0	0
74	4	0	0
75	2	1	0
76	2	0	0
77	10	0	0
78	4	1	0
79	3	1	0
80	4	2	0
81	4	1	0
82	4	0	0
83	3	0	2
84	10	0	0
85	8	1	0
86	4	0	0
87	8	1	1
88	5	1	0
89	7	1	1
90	5	0	0
91	8	3	1
92	6	0	0
93	4	3	1
94	7	3	0
95	7	1	0
96	7	2	1
97	9	2	1
98	4	3	1
99	5	3	2
100	10	2	0
101	8	1	0
102	14	1	2
103	8	3	3
104	13	0	0
105	7	2	1
106	11	3	1
107	7	2	1
108	11	3	1
109	6	1	1
110	13	3	2
111	14	4	2
112	14	1	2
113	15	6	1
114	12	2	1
115	12	5	0
116	9	6	3
117	17	6	1
118	19	4	1
119	15	9	0
120	15	4	1
121	21	5	1
122	15	14	2
123	13	8	1
124	16	2	2
125	16	6	0
126	17	5	3
127	10	10	3
128	12	5	0
129	16	4	2
130	18	1	4
131	13	6	1
132	17	10	2
133	14	10	0
134	16	10	1
135	15	10	3
136	24	18	1
137	28	9	4
138	20	6	4
139	20	9	4
140	22	11	4
141	19	12	3
142	49	10	7
143	34	14	8
144	57	11	0
145	78	17	7
146	94	12	8
147	128	15	6
148	160	21	6
149	222	16	4
150	322	16	11
151	380	20	4
152	438	16	16
153	511	13	7
154	538	14	6
155	630	12	9
156	679	15	4
157	732	19	5
158	771	23	13
159	937	15	15
160	907	11	12
161	1008	21	10
162	1156	18	11
163	1312	10	16
164	1618	13	9
165	1895	19	19
166	2327	16	17
167	2801	18	15
168	3336	15	11
169	3596	17	15
170	3681	16	14
171	3752	29	17
172	3759	21	12
173	3834	29	17
174	3841	29	22
175	3761	33	19
176	3932	29	23
177	3966	39	18
178	4367	59	19
179	4869	62	36
180	5657	87	35
181	6765	106	37
182	7714	133	44
183	8711	192	63
184	9380	275	73
185	9926	332	83
186	10089	398	141
187	10755	560	158
188	10968	770	255
189	11740	952	313
190	11951	1153	430
191	11089	1521	551
192	10608	1856	759
193	9380	2378	898
194	8110	2932	1127
195	7005	3572	1435
196	6006	4124	1760
197	5249	4345	2173
198	4511	4482	2740
199	3914	4320	3282
200	3376	4097	3778
201	2590	4050	4160
202	2037	3890	4320
203	1430	4089	4448
204	1019	4150	4353
205	734	4523	4213
206	546	4768	4136
207	395	5227	4398
208	240	5972	4655
209	137	7048	4776
210	75	8406	5200
211	44	10096	5647
212	23	12055	6238
213	26	13699	7196
214	16	15008	8491
215	14	15565	10025
216	10	15388	12144
217	11	14463	13619
218	8	12305	14942
219	7	10583	15539
220	9	8997	14966
221	8	7693	14124
222	5	6450	12273
223	10	4843	10741
224	3	3532	9086
225	7	2484	7480
226	10	1713	6105
227	4	1180	4829
228	6	775	3491
229	5	458	2571
230	10	242	1715
231	6	121	1161
232	6	66	733
233	5	43	462
234	3	26	291
235	4	17	160
236	2	17	82
237	7	14	49
238	5	15	29
239	6	16	22
240	8	11	21
241	6	6	15
242	0	12	15
243	5	4	14
244	5	6	15
245	1	7	9
246	2	6	9
247	0	9	5
248	2	8	7
249	0	6	6
250	1	11	12
251	0	8	12
252	0	6	8
253	0	8	7
254	0	12	8
255	0	27	56
