x_axis	b_count	g_count	r_count
0	1743974	1743971	1743971
1	0	0	0
2	0	0	0
3	1	0	0
4	0	0	0
5	1	0	0
6	0	1	0
7	0	0	0
8	1	1	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	1
14	1	0	0
15	0	1	1
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	1	1
23	0	0	0
24	2	1	0
25	0	0	0
26	0	1	0
27	1	0	0
28	0	0	0
29	1	0	1
30	0	0	0
31	0	0	1
32	0	0	0
33	1	1	1
34	0	0	0
35	0	0	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	2	0	1
41	2	0	0
42	1	0	0
43	0	1	0
44	2	1	0
45	0	1	0
46	1	0	0
47	2	1	0
48	0	0	0
49	0	0	1
50	0	0	1
51	0	0	0
52	1	1	1
53	2	0	0
54	0	0	1
55	1	0	0
56	1	0	0
57	2	0	0
58	0	0	0
59	3	0	1
60	0	0	0
61	1	0	0
62	3	2	0
63	1	0	0
64	1	3	1
65	3	0	0
66	2	1	0
67	3	0	1
68	1	2	0
69	2	3	0
70	5	0	0
71	2	0	1
72	3	0	0
73	2	0	0
74	3	0	0
75	4	4	0
76	2	1	0
77	4	0	0
78	3	0	0
79	4	2	1
80	3	0	1
81	1	3	1
82	2	2	1
83	3	5	0
84	8	4	1
85	2	2	0
86	6	1	1
87	4	3	1
88	4	0	1
89	4	0	2
90	4	1	2
91	3	1	2
92	6	2	1
93	0	2	1
94	0	1	0
95	3	5	2
96	6	4	1
97	5	5	2
98	5	2	3
99	8	0	0
100	4	3	2
101	10	3	3
102	5	1	1
103	8	8	2
104	11	7	1
105	8	1	0
106	10	3	3
107	12	4	2
108	4	5	2
109	9	4	5
110	8	4	2
111	7	5	4
112	9	2	2
113	7	3	3
114	8	4	1
115	9	7	0
116	14	3	1
117	7	3	0
118	13	5	2
119	13	4	3
120	18	7	2
121	16	7	5
122	19	5	9
123	27	4	5
124	29	5	4
125	24	6	4
126	30	4	5
127	38	10	6
128	46	10	4
129	44	6	2
130	51	8	6
131	61	8	2
132	83	10	6
133	111	12	7
134	141	9	8
135	175	8	8
136	219	23	11
137	272	17	6
138	347	17	8
139	446	15	6
140	490	16	10
141	597	15	10
142	662	18	15
143	785	21	15
144	872	31	16
145	935	17	13
146	1086	36	13
147	1098	32	16
148	1222	39	16
149	1328	44	20
150	1347	50	20
151	1492	44	13
152	1641	69	21
153	1800	88	38
154	2083	107	35
155	2298	118	46
156	2599	148	40
157	2878	167	60
158	3329	236	90
159	3522	292	100
160	3892	370	132
161	4198	476	174
162	4355	581	222
163	4780	648	278
164	5149	784	348
165	5350	911	447
166	5718	989	580
167	6114	1168	674
168	6751	1252	867
169	7306	1465	986
170	7506	1635	1124
171	8038	1775	1337
172	8213	1886	1451
173	8811	2168	1649
174	8916	2432	1786
175	9453	2819	2033
176	9861	3173	2313
177	10554	3538	2628
178	10735	3939	2954
179	10827	4376	3450
180	10354	4748	3790
181	9775	5115	4503
182	8963	5395	4930
183	8326	5704	5503
184	7120	6041	6045
185	6120	6350	6810
186	4795	6804	6938
187	3576	7464	7410
188	2474	8036	8028
189	1793	8721	8608
190	1212	9295	9497
191	877	9883	10152
192	597	10344	10876
193	486	10850	11446
194	329	11942	12205
195	250	12897	12621
196	160	13301	12869
197	140	12769	12832
198	103	12059	12506
199	75	10772	11295
200	77	8973	10243
201	45	7081	8634
202	33	5136	7044
203	17	3565	5348
204	15	2458	3876
205	15	1568	2669
206	6	1029	1992
207	10	722	1234
208	15	496	882
209	11	320	597
210	9	199	426
211	12	146	273
212	6	111	168
213	12	80	132
214	8	63	76
215	11	44	59
216	8	30	34
217	7	17	36
218	6	12	17
219	5	10	20
220	13	11	12
221	5	11	13
222	9	16	9
223	9	13	12
224	9	11	14
225	7	10	10
226	7	11	10
227	7	7	11
228	7	14	10
229	9	6	7
230	8	6	7
231	6	12	11
232	3	9	13
233	2	11	12
234	8	13	7
235	7	8	6
236	8	3	8
237	10	4	5
238	9	9	9
239	5	11	6
240	5	5	8
241	9	2	7
242	14	7	7
243	11	12	11
244	10	11	10
245	11	10	12
246	13	10	6
247	20	15	7
248	44	7	18
249	30	13	19
250	61	25	11
251	65	29	30
252	42	46	41
253	110	79	64
254	62	155	142
255	143	285	332
