x_axis	b_count	g_count	r_count
0	1743973	1743971	1743971
1	1	0	0
2	1	0	0
3	1	0	0
4	2	0	0
5	2	0	0
6	0	0	0
7	1	0	0
8	3	0	0
9	0	0	0
10	4	0	0
11	2	0	0
12	3	0	0
13	6	0	0
14	6	0	0
15	15	0	0
16	4	0	0
17	8	0	0
18	21	0	0
19	22	0	0
20	25	0	0
21	24	0	0
22	24	0	0
23	32	0	0
24	47	0	0
25	56	0	0
26	51	0	0
27	67	0	0
28	81	0	0
29	95	0	0
30	69	0	0
31	94	0	0
32	85	0	0
33	106	0	0
34	107	0	0
35	104	0	0
36	102	0	0
37	111	0	0
38	112	0	0
39	112	0	0
40	101	0	0
41	110	0	0
42	109	0	0
43	106	0	0
44	97	0	0
45	100	2	0
46	110	2	0
47	104	1	0
48	105	0	0
49	105	4	0
50	95	1	0
51	96	1	0
52	98	1	0
53	131	2	0
54	113	1	0
55	102	1	0
56	110	0	0
57	117	1	0
58	114	1	0
59	106	3	0
60	110	3	0
61	119	10	0
62	116	9	0
63	122	7	0
64	114	6	0
65	105	10	0
66	134	18	0
67	122	20	0
68	118	21	1
69	126	27	1
70	127	22	2
71	137	26	1
72	97	35	0
73	123	26	1
74	115	24	0
75	104	37	2
76	121	32	1
77	128	54	0
78	123	49	2
79	119	56	0
80	120	52	0
81	103	57	1
82	120	66	0
83	110	63	0
84	114	65	0
85	113	74	0
86	124	87	0
87	99	109	2
88	118	82	0
89	116	84	0
90	109	93	3
91	124	76	2
92	96	101	1
93	143	67	0
94	152	71	2
95	128	71	1
96	145	71	3
97	141	71	1
98	156	87	1
99	165	101	4
100	182	88	2
101	199	81	5
102	216	72	4
103	222	91	7
104	233	95	5
105	276	86	7
106	285	85	3
107	291	92	7
108	356	81	8
109	318	100	8
110	378	101	18
111	397	82	22
112	442	117	16
113	452	113	16
114	478	84	16
115	538	107	25
116	565	130	28
117	612	92	26
118	634	107	35
119	667	139	26
120	721	128	42
121	712	101	28
122	767	136	26
123	881	112	47
124	948	101	30
125	987	111	34
126	1051	139	42
127	1170	124	42
128	1221	123	46
129	1305	127	47
130	1429	101	57
131	1455	110	52
132	1568	121	57
133	1740	128	71
134	1823	126	78
135	2086	112	74
136	2269	130	56
137	2390	109	86
138	2579	117	77
139	2745	113	62
140	2935	109	75
141	3243	115	96
142	3279	136	83
143	3470	142	88
144	3486	139	113
145	3827	112	103
146	3925	123	112
147	3995	138	114
148	4284	142	123
149	4400	158	109
150	4547	167	116
151	4653	171	113
152	4852	154	107
153	5050	186	133
154	5160	207	128
155	5358	207	132
156	5577	220	118
157	5626	230	135
158	5615	252	136
159	5942	262	135
160	5786	248	150
161	5666	283	154
162	5752	281	163
163	5626	343	165
164	5614	364	190
165	5498	338	172
166	5472	413	181
167	5404	428	223
168	5300	489	211
169	5242	448	222
170	4932	501	218
171	4790	524	265
172	4580	641	248
173	4284	641	288
174	4033	682	291
175	3615	691	310
176	3244	752	346
177	2865	931	330
178	2621	934	378
179	2284	1015	373
180	1849	1118	404
181	1657	1182	436
182	1482	1239	472
183	1312	1355	516
184	1056	1388	545
185	972	1512	620
186	787	1546	615
187	734	1815	714
188	630	1902	751
189	570	2116	810
190	476	2253	885
191	381	2357	968
192	367	2638	984
193	325	2780	1100
194	296	3052	1186
195	245	3256	1265
196	231	3685	1498
197	244	4071	1538
198	205	4483	1680
199	161	4831	1847
200	208	5343	2023
201	177	5704	2167
202	182	6147	2367
203	167	6704	2623
204	166	7031	2723
205	161	7322	2992
206	136	7731	3387
207	143	8208	3446
208	148	8486	3991
209	151	8764	4379
210	144	8699	4974
211	135	8791	5313
212	164	8773	5871
213	158	8436	6668
214	139	7962	7135
215	116	7703	8020
216	144	7198	8319
217	164	6470	9106
218	129	5982	9238
219	139	5313	9754
220	143	4835	9942
221	145	4283	9973
222	107	3701	9830
223	142	3057	9690
224	117	2457	9212
225	124	1915	8486
226	138	1520	8006
227	125	1086	7043
228	136	898	6497
229	103	694	5783
230	133	532	5181
231	111	456	4445
232	108	369	3754
233	104	315	3131
234	103	304	2394
235	97	244	1866
236	118	256	1458
237	97	226	1146
238	77	234	853
239	101	231	660
240	85	211	518
241	115	229	430
242	69	206	398
243	115	196	322
244	117	202	294
245	79	190	245
246	119	213	280
247	84	228	261
248	155	222	250
249	116	240	270
250	189	283	259
251	205	360	343
252	129	421	356
253	240	582	516
254	116	714	684
255	427	1627	3150
