x_axis	b_count	g_count	r_count
0	1743976	1743971	1743971
1	3	0	0
2	1	0	0
3	0	0	0
4	3	0	0
5	0	0	0
6	3	0	0
7	1	0	0
8	2	0	0
9	1	0	0
10	2	0	0
11	1	0	0
12	2	0	0
13	3	0	0
14	6	0	0
15	6	0	0
16	4	0	0
17	0	0	0
18	1	0	0
19	4	0	0
20	2	0	0
21	2	0	0
22	2	0	0
23	3	0	0
24	3	0	0
25	2	1	0
26	5	1	0
27	7	3	0
28	3	2	0
29	1	0	0
30	5	0	0
31	4	2	0
32	1	4	0
33	9	0	0
34	3	1	0
35	2	2	0
36	7	1	0
37	7	2	0
38	6	2	0
39	8	2	0
40	7	1	0
41	5	2	0
42	10	1	0
43	10	4	0
44	10	2	0
45	10	3	0
46	7	3	0
47	13	2	0
48	17	3	0
49	27	2	0
50	12	1	0
51	15	4	0
52	19	2	0
53	21	5	0
54	18	6	0
55	13	1	0
56	13	6	0
57	18	4	0
58	14	4	0
59	12	4	0
60	16	1	0
61	19	4	0
62	12	2	0
63	13	4	0
64	15	4	0
65	23	2	0
66	13	3	0
67	17	5	0
68	16	4	0
69	15	6	0
70	23	6	0
71	27	5	0
72	19	4	0
73	29	4	0
74	22	6	0
75	35	3	0
76	39	3	0
77	26	4	0
78	23	1	1
79	23	0	1
80	23	1	2
81	29	10	0
82	34	4	2
83	26	5	2
84	38	3	0
85	47	12	0
86	49	6	2
87	37	7	1
88	78	5	1
89	80	10	1
90	78	11	1
91	77	13	1
92	81	9	0
93	114	10	7
94	104	15	1
95	108	14	2
96	129	15	1
97	148	13	0
98	139	13	3
99	137	15	2
100	166	8	2
101	164	16	4
102	201	18	4
103	183	11	4
104	207	16	5
105	213	20	6
106	227	15	6
107	250	19	3
108	244	6	3
109	272	21	4
110	314	13	3
111	356	12	4
112	359	15	9
113	413	28	5
114	393	19	9
115	444	19	8
116	496	25	8
117	493	22	9
118	636	15	8
119	628	19	6
120	809	25	6
121	871	33	8
122	956	26	11
123	1073	25	12
124	1134	27	5
125	1201	26	10
126	1362	42	12
127	1412	36	10
128	1523	37	12
129	1651	39	11
130	1789	26	12
131	1811	23	13
132	1974	29	18
133	2053	37	14
134	2048	34	20
135	2078	16	24
136	2160	48	17
137	2143	34	11
138	2315	34	25
139	2583	33	23
140	2618	33	29
141	2996	43	28
142	3087	43	27
143	3384	33	39
144	3746	50	28
145	4025	53	34
146	4385	65	31
147	4749	57	34
148	5065	61	30
149	5339	58	40
150	5740	72	20
151	5790	80	25
152	6168	84	34
153	6408	87	31
154	6681	102	40
155	6641	142	42
156	6987	142	36
157	7415	166	35
158	7405	186	36
159	7712	197	27
160	7713	212	41
161	7607	220	30
162	7338	252	45
163	6812	296	51
164	6327	312	42
165	5710	331	56
166	5584	409	59
167	5061	408	59
168	4848	499	61
169	4728	510	74
170	4461	575	76
171	4208	605	84
172	3898	625	89
173	3613	730	134
174	3361	744	131
175	3002	852	163
176	2631	900	164
177	2374	1069	185
178	1990	1121	255
179	1664	1339	314
180	1416	1312	343
181	1168	1411	384
182	976	1448	460
183	714	1575	535
184	565	1713	583
185	454	1725	609
186	331	2024	769
187	247	2273	803
188	205	2743	914
189	133	2911	1098
190	118	3117	1116
191	99	3367	1300
192	84	3548	1341
193	74	3561	1483
194	66	3660	1610
195	58	3807	1701
196	58	3843	1789
197	54	3990	1911
198	51	4248	2135
199	63	4345	2253
200	57	4778	2539
201	43	5064	2740
202	54	5770	3018
203	51	6253	3318
204	36	7101	3607
205	42	7914	3927
206	57	8484	3948
207	47	9334	4091
208	41	9639	4193
209	46	9866	4431
210	30	9986	4642
211	47	10006	5008
212	32	9812	5449
213	47	9458	5839
214	31	9044	6605
215	43	8724	7507
216	39	8127	8350
217	33	7285	9154
218	29	6315	9901
219	41	5445	10299
220	29	4675	10970
221	38	3725	10840
222	33	2743	10671
223	31	2170	10319
224	29	1425	9971
225	43	1065	9465
226	23	652	9165
227	27	438	8316
228	47	329	7461
229	28	223	6404
230	33	177	5264
231	29	128	4132
232	20	106	3046
233	28	96	2231
234	31	64	1599
235	16	70	1101
236	24	49	711
237	25	63	532
238	10	67	301
239	18	67	215
240	11	69	172
241	21	48	136
242	9	69	134
243	15	65	124
244	11	61	90
245	4	57	83
246	8	47	81
247	5	65	77
248	15	65	66
249	11	57	70
250	9	66	81
251	9	89	67
252	9	98	87
253	11	93	84
254	3	105	113
255	22	286	717
