x_axis	b_count	g_count	r_count
0	1743971	1743971	1743971
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	1	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	1	0	0
15	0	0	0
16	0	0	0
17	2	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	1	0	0
23	1	0	0
24	0	0	0
25	1	0	0
26	0	0	0
27	1	0	0
28	0	0	0
29	0	0	0
30	2	0	0
31	0	0	0
32	0	0	0
33	1	0	0
34	1	0	0
35	0	0	0
36	0	0	0
37	2	0	0
38	0	0	0
39	0	0	0
40	0	1	0
41	0	0	0
42	0	0	0
43	1	0	0
44	2	0	0
45	1	0	0
46	1	0	0
47	1	3	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	1	0	0
53	0	2	0
54	1	0	0
55	0	0	0
56	1	1	0
57	1	1	0
58	1	0	0
59	1	0	0
60	4	1	0
61	3	0	0
62	0	0	0
63	1	2	0
64	1	0	0
65	1	0	0
66	0	0	0
67	2	2	0
68	4	1	0
69	2	0	1
70	2	0	0
71	3	0	0
72	5	0	0
73	2	1	1
74	0	0	2
75	2	0	0
76	2	0	0
77	0	2	0
78	2	0	1
79	0	0	0
80	1	0	0
81	1	0	1
82	1	0	1
83	2	0	0
84	1	0	0
85	2	0	0
86	3	0	1
87	5	0	0
88	4	1	0
89	5	2	2
90	4	1	1
91	3	0	0
92	3	1	1
93	3	1	2
94	4	0	0
95	3	0	0
96	5	0	0
97	3	1	0
98	1	1	0
99	2	2	0
100	3	1	0
101	6	1	0
102	3	2	2
103	5	3	0
104	4	0	1
105	5	6	0
106	5	3	0
107	6	3	0
108	14	2	0
109	8	2	0
110	4	0	0
111	12	3	1
112	9	1	1
113	8	1	0
114	8	1	0
115	9	5	1
116	8	1	1
117	14	2	1
118	11	5	0
119	16	1	0
120	16	3	3
121	12	2	2
122	10	4	3
123	18	4	2
124	9	1	3
125	12	3	2
126	13	1	3
127	11	2	0
128	7	2	0
129	15	4	6
130	15	1	5
131	21	2	2
132	30	2	2
133	33	5	3
134	42	4	6
135	51	2	1
136	81	4	5
137	117	7	1
138	156	5	1
139	200	5	1
140	306	3	3
141	370	3	3
142	498	4	4
143	542	3	4
144	649	8	5
145	712	8	2
146	786	3	6
147	874	13	4
148	860	12	7
149	938	11	5
150	985	11	2
151	995	11	4
152	1075	8	4
153	1153	8	1
154	1135	18	5
155	1160	12	8
156	1174	12	7
157	1291	14	6
158	1267	11	3
159	1356	17	5
160	1459	8	7
161	1530	19	9
162	1646	10	7
163	1833	13	3
164	1964	9	8
165	2176	19	8
166	2365	19	14
167	2688	25	13
168	2869	32	7
169	2995	26	14
170	3276	31	15
171	3533	51	13
172	4007	60	16
173	4502	105	20
174	5195	132	15
175	6105	215	15
176	7162	294	20
177	8178	382	31
178	9284	465	34
179	10070	599	37
180	11073	728	50
181	11349	818	58
182	11585	962	84
183	11583	1045	143
184	11761	1165	171
185	11170	1328	259
186	10422	1520	347
187	9603	1573	444
188	8585	1814	531
189	7607	2030	711
190	6723	2255	851
191	5622	2362	988
192	4667	2725	1122
193	4087	2809	1278
194	3575	2990	1443
195	3033	3334	1656
196	2636	3363	1914
197	2345	3537	2194
198	1904	3722	2440
199	1674	3758	2604
200	1317	3991	2864
201	995	4437	3148
202	714	4864	3283
203	440	5556	3554
204	297	6529	3664
205	223	7343	3891
206	199	8678	4053
207	143	9983	4385
208	134	11346	4925
209	113	12228	5584
210	116	13116	6495
211	98	13463	7445
212	84	13552	8632
213	69	13482	9864
214	68	12553	11313
215	49	11318	12375
216	61	10037	13223
217	63	8490	13673
218	59	6969	13723
219	48	5755	13377
220	44	4588	12951
221	48	3682	11873
222	30	2859	10377
223	40	2186	9009
224	44	1460	7639
225	44	956	6411
226	53	605	5227
227	49	453	4256
228	49	267	3310
229	46	216	2539
230	38	176	1754
231	55	134	1216
232	50	110	796
233	46	90	522
234	58	89	320
235	52	75	278
236	52	65	178
237	34	60	148
238	55	78	112
239	56	65	87
240	39	78	81
241	57	79	86
242	49	51	73
243	45	69	84
244	46	56	82
245	34	51	67
246	53	59	85
247	11	54	71
248	36	66	56
249	9	62	55
250	15	72	65
251	13	76	84
252	5	86	87
253	9	55	72
254	3	78	90
255	4	202	406
