x_axis	b_count	g_count	r_count
0	1743972	1743971	1743971
1	0	0	0
2	0	0	0
3	1	0	0
4	0	0	0
5	2	0	0
6	2	0	0
7	1	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	1	0	0
12	0	0	0
13	0	0	0
14	1	0	0
15	1	0	0
16	1	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	1	0	0
21	0	0	0
22	1	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	1	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	2	0	0
34	1	0	0
35	1	0	0
36	1	0	0
37	4	0	0
38	0	0	0
39	2	0	0
40	3	0	0
41	0	1	0
42	2	0	0
43	0	0	0
44	0	2	0
45	0	0	0
46	2	1	0
47	1	0	0
48	1	1	0
49	1	1	0
50	1	2	0
51	0	0	0
52	1	0	0
53	4	1	0
54	1	0	0
55	1	0	0
56	1	1	0
57	1	0	0
58	1	1	0
59	2	1	0
60	1	0	0
61	2	0	0
62	1	1	0
63	0	0	0
64	2	0	1
65	1	0	0
66	1	0	1
67	2	0	1
68	2	0	1
69	4	1	1
70	0	0	0
71	0	0	0
72	5	0	1
73	1	2	0
74	1	0	2
75	0	1	1
76	1	1	0
77	4	0	0
78	3	1	1
79	3	1	1
80	1	0	0
81	1	0	1
82	3	1	0
83	1	2	0
84	4	1	0
85	2	1	1
86	2	1	0
87	3	1	0
88	3	0	0
89	8	5	0
90	5	0	0
91	3	1	2
92	6	2	1
93	6	1	0
94	5	0	1
95	6	2	0
96	6	4	0
97	3	1	1
98	2	1	0
99	5	2	0
100	5	2	1
101	4	2	1
102	10	1	4
103	7	1	2
104	9	1	0
105	3	1	0
106	3	2	0
107	6	3	4
108	7	0	0
109	6	7	3
110	13	1	3
111	7	2	0
112	17	2	0
113	14	1	1
114	6	3	2
115	12	1	2
116	12	4	1
117	11	2	1
118	10	2	1
119	10	4	1
120	7	2	1
121	9	4	4
122	13	8	2
123	12	2	5
124	8	5	0
125	13	3	1
126	15	2	2
127	11	2	4
128	16	3	4
129	19	2	6
130	26	3	3
131	31	5	0
132	32	2	4
133	51	1	5
134	85	5	2
135	106	7	7
136	161	6	3
137	223	6	5
138	271	6	5
139	331	4	1
140	439	4	1
141	428	3	3
142	528	7	1
143	577	7	4
144	610	8	3
145	638	10	6
146	671	7	3
147	717	6	2
148	756	9	4
149	857	7	8
150	904	8	0
151	974	5	7
152	1081	8	4
153	1196	13	3
154	1208	14	4
155	1298	16	11
156	1369	8	7
157	1388	13	3
158	1404	15	6
159	1506	16	8
160	1656	15	7
161	1669	18	9
162	1838	14	4
163	1898	18	7
164	2139	14	9
165	2361	12	7
166	2609	19	11
167	2924	21	12
168	2999	31	6
169	3331	29	10
170	3526	34	13
171	3864	44	8
172	4223	69	12
173	4664	106	16
174	5297	152	12
175	6167	212	19
176	7336	312	18
177	8175	373	30
178	9459	487	33
179	10204	641	33
180	11303	758	41
181	11535	911	74
182	11606	997	76
183	11411	1140	122
184	11019	1230	179
185	10577	1371	219
186	9815	1545	341
187	9389	1700	429
188	8363	1920	594
189	7446	2119	693
190	6574	2288	891
191	5491	2565	984
192	4718	2804	1038
193	3928	2957	1248
194	3338	3181	1413
195	2925	3225	1534
196	2530	3527	1831
197	2097	3671	2075
198	1762	3749	2336
199	1465	3883	2479
200	1124	4168	2779
201	762	4407	2941
202	551	4683	3310
203	377	5515	3621
204	257	6402	3833
205	189	7362	4118
206	150	8599	4399
207	138	9728	4661
208	136	11373	5131
209	109	12305	5566
210	87	13150	6246
211	104	13168	7270
212	79	13219	8340
213	83	12935	9707
214	62	12117	11003
215	61	11148	12372
216	64	9764	12961
217	52	8473	13595
218	57	6963	13302
219	46	5799	12958
220	60	4786	12717
221	46	3900	11709
222	43	3023	10594
223	55	2111	9369
224	42	1509	7978
225	51	957	6530
226	45	617	5487
227	39	414	4596
228	47	280	3661
229	44	207	2676
230	50	167	1846
231	40	144	1257
232	54	119	820
233	43	90	576
234	47	78	344
235	53	76	283
236	52	79	176
237	43	80	146
238	48	75	121
239	61	77	101
240	56	72	97
241	53	76	75
242	34	65	85
243	32	54	77
244	35	62	78
245	26	70	78
246	33	49	87
247	15	57	72
248	40	57	70
249	12	68	60
250	20	84	70
251	9	78	77
252	3	71	66
253	3	104	90
254	1	74	94
255	1	153	427
