x_axis	b_count	g_count	r_count
0	1743978	1743971	1743971
1	2	0	0
2	1	0	0
3	1	0	0
4	4	0	0
5	1	0	0
6	1	0	0
7	0	0	0
8	3	0	0
9	4	0	0
10	3	0	0
11	1	0	0
12	2	0	0
13	1	0	0
14	1	0	0
15	1	0	0
16	6	0	0
17	3	1	0
18	1	0	0
19	2	1	0
20	6	0	0
21	2	0	0
22	3	0	0
23	5	1	0
24	4	0	0
25	6	1	0
26	5	1	0
27	10	1	0
28	11	2	0
29	8	2	0
30	7	3	0
31	7	1	0
32	9	1	0
33	9	0	0
34	7	1	0
35	12	2	0
36	11	2	0
37	11	2	0
38	17	2	0
39	12	0	0
40	8	1	0
41	7	2	0
42	13	2	0
43	8	5	0
44	16	4	0
45	10	3	0
46	13	4	0
47	15	3	0
48	13	5	0
49	17	2	0
50	18	3	0
51	11	4	0
52	14	3	0
53	19	5	0
54	21	2	0
55	22	4	0
56	25	2	0
57	22	7	0
58	19	5	0
59	34	2	0
60	15	4	0
61	22	3	0
62	19	4	0
63	22	5	1
64	23	5	0
65	25	4	0
66	23	5	0
67	31	3	0
68	31	3	0
69	27	8	0
70	35	4	0
71	20	4	0
72	34	6	1
73	33	2	1
74	36	4	1
75	29	0	1
76	28	7	0
77	29	6	1
78	27	6	0
79	35	1	1
80	42	8	0
81	30	5	1
82	42	7	0
83	35	8	2
84	52	11	1
85	45	9	2
86	60	10	2
87	47	7	3
88	53	13	1
89	58	14	4
90	61	7	5
91	89	10	2
92	92	23	2
93	95	18	2
94	86	11	1
95	107	12	1
96	97	22	4
97	101	22	3
98	99	19	4
99	113	17	6
100	124	11	5
101	162	12	3
102	129	17	5
103	180	13	7
104	183	19	3
105	182	17	4
106	205	13	6
107	234	18	3
108	253	12	10
109	280	18	8
110	283	25	4
111	253	17	7
112	298	15	7
113	305	23	10
114	359	29	9
115	347	24	8
116	372	19	3
117	438	14	7
118	536	28	7
119	595	30	8
120	633	28	12
121	684	24	8
122	766	23	8
123	864	37	11
124	915	24	14
125	999	30	16
126	1099	31	20
127	1239	32	16
128	1322	39	14
129	1444	40	11
130	1515	34	16
131	1601	44	24
132	1554	34	16
133	1705	37	16
134	1724	41	17
135	1826	26	23
136	1823	36	25
137	1938	41	24
138	2107	28	28
139	2180	35	28
140	2289	52	26
141	2562	41	29
142	2697	44	25
143	2893	41	35
144	3028	45	24
145	3149	55	32
146	3488	50	32
147	3581	65	28
148	3734	57	36
149	3955	56	44
150	4095	67	39
151	4513	96	37
152	4714	92	31
153	5049	106	37
154	5309	115	36
155	5783	131	43
156	6029	141	30
157	6270	170	37
158	6576	182	38
159	6782	200	35
160	7105	221	39
161	7105	240	37
162	7198	249	55
163	7287	300	64
164	7177	328	50
165	6911	335	47
166	6553	410	57
167	6426	432	61
168	6007	514	64
169	5754	494	89
170	5676	567	80
171	5414	630	85
172	5118	688	123
173	4920	764	132
174	4724	799	131
175	4331	868	172
176	4087	946	184
177	3759	1038	192
178	3359	1190	221
179	3117	1253	256
180	2552	1337	290
181	2101	1411	349
182	1757	1608	415
183	1404	1598	519
184	1137	1700	503
185	962	1852	584
186	742	2058	683
187	531	2356	830
188	455	2474	937
189	294	2679	947
190	233	3140	1164
191	182	3307	1254
192	146	3354	1292
193	135	3498	1417
194	111	3663	1563
195	71	3513	1593
196	89	3490	1706
197	76	3711	1721
198	77	3812	1815
199	67	3929	2039
200	55	4224	2232
201	59	4639	2484
202	56	4803	2746
203	71	5351	2969
204	42	5939	3318
205	43	6466	3447
206	45	6888	3750
207	62	7632	3868
208	53	8460	3907
209	47	8973	3884
210	37	9503	4206
211	42	9659	4250
212	48	9975	4498
213	38	9843	4715
214	42	9442	5234
215	40	9315	5543
216	38	8944	5963
217	43	8098	6685
218	49	7349	7116
219	39	6535	7909
220	39	5922	8621
221	51	5002	9219
222	49	4167	9856
223	54	3179	10078
224	34	2392	10730
225	37	1622	10670
226	49	1108	10504
227	42	731	10124
228	49	495	9545
229	29	301	8891
230	38	246	7778
231	25	183	6745
232	35	121	5691
233	27	124	4481
234	42	100	3401
235	25	86	2461
236	31	76	1694
237	30	83	1193
238	22	68	797
239	34	67	554
240	16	85	366
241	20	64	242
242	18	60	210
243	34	49	143
244	22	64	128
245	8	75	93
246	15	67	87
247	9	64	93
248	27	88	89
249	8	100	75
250	25	93	100
251	19	103	90
252	5	96	108
253	17	121	115
254	7	136	143
255	50	368	976
